During time (ms)         Sample Size
0.000365                       16666
0.000364                       33333
0.000341                       50000
0.000382                       66667
0.000342                       83334
0.000478                      100001
0.000393                      116668
0.000402                      133335
0.000395                      150002
0.000357                      166669
0.000428                      183336
0.000370                      200003
0.000390                      216670
0.000402                      233337
0.000339                      250004
0.000416                      266671
0.000395                      283338
0.000406                      300005
0.000439                      316672
0.000375                      333339
0.000409                      350006
0.000418                      366672
0.000435                      383338
0.000384                      400004
0.000442                      416670
0.000402                      433336
0.000438                      450002
0.000417                      466668
0.000437                      483334
0.000353                      500000
